Date,Close/Last,Volume,Open,High,Low
9/18/2026,$493.78 ,39622290,$497.97 ,$498.65 ,$491.10 
9/17/2026,$497.75 ,17841640,$497.80 ,$501.47 ,$493.17 
9/16/2026,$490.30 ,16670290,$493.03 ,$495.97 ,$487.23 
9/15/2026,$497.12 ,17794610,$500.06 ,$505.90 ,$495.54 
9/14/2026,$505.41 ,23091890,$497.06 ,$509.95 ,$495.34 
9/11/2026,$495.63 ,14518440,$495.65 ,$498.97 ,$492.58 
9/10/2026,$492.44 ,16038810,$488.32 ,$494.52 ,$486.00 
9/9/2026,$491.65 ,12889570,$493.07 ,$494.39 ,$489.80 
9/8/2026,$493.95 ,18882340,$493.01 ,$495.19 ,$490.15 
9/4/2026,$499.70 ,18101760,$510.00 ,$511.00 ,$499.36 
9/3/2026,$510.12 ,24125890,$501.66 ,$515.65 ,$500.80 
9/2/2026,$496.82 ,15336070,$499.85 ,$500.27 ,$493.81 
9/1/2026,$501.02 ,21046890,$497.52 ,$505.97 ,$496.78 
8/31/2026,$507.29 ,27208910,$510.38 ,$512.19 ,$506.39 
8/28/2026,$513.53 ,29207330,$505.33 ,$517.78 ,$504.87 
8/27/2026,$505.06 ,28688760,$494.88 ,$506.48 ,$490.08 
8/26/2026,$496.37 ,20758850,$487.85 ,$497.40 ,$487.31 
8/25/2026,$491.71 ,19518990,$485.44 ,$492.44 ,$484.30 
8/24/2026,$487.31 ,17230750,$483.21 ,$490.61 ,$481.86 
8/21/2026,$483.24 ,22510770,$479.88 ,$486.36 ,$478.53 
8/20/2026,$481.15 ,20020820,$483.30 ,$484.16 ,$479.50 
8/19/2026,$484.31 ,19961870,$480.07 ,$489.30 ,$479.36 
8/18/2026,$481.63 ,24087590,$481.54 ,$484.27 ,$477.15 
8/17/2026,$480.35 ,29635850,$490.14 ,$492.66 ,$478.41 
8/14/2026,$495.40 ,16217650,$496.36 ,$500.01 ,$493.92 
8/13/2026,$496.88 ,23038980,$493.27 ,$501.34 ,$493.01 
8/12/2026,$492.43 ,29001480,$499.99 ,$501.50 ,$491.52 
8/11/2026,$503.81 ,23049790,$504.33 ,$505.33 ,$499.55 
8/10/2026,$506.06 ,31206140,$503.44 ,$513.73 ,$502.27 
8/7/2026,$499.99 ,28846240,$499.21 ,$505.18 ,$498.73 
8/6/2026,$499.86 ,36441540,$488.55 ,$501.56 ,$488.52 
8/5/2026,$487.46 ,33388870,$496.36 ,$498.24 ,$485.68 
8/4/2026,$492.81 ,50455450,$480.90 ,$499.44 ,$479.17 
8/3/2026,$487.65 ,66762070,$476.13 ,$491.65 ,$475.00 
7/31/2026,$464.72 ,60845970,$450.00 ,$466.84 ,$449.33 
7/30/2026,$451.10 ,110160700,$437.90 ,$458.69 ,$432.44 
7/29/2026,$390.54 ,47209030,$393.40 ,$401.25 ,$388.74 
7/28/2026,$393.35 ,32367550,$393.16 ,$400.32 ,$391.30 
7/27/2026,$389.10 ,27856160,$390.08 ,$394.20 ,$387.99 
7/24/2026,$381.70 ,27659390,$387.05 ,$389.03 ,$380.65 
7/23/2026,$381.58 ,30351750,$389.97 ,$391.78 ,$377.39 
7/22/2026,$390.34 ,28142510,$399.58 ,$401.00 ,$386.96 
7/21/2026,$397.75 ,24126630,$398.81 ,$401.47 ,$396.32 
7/20/2026,$402.29 ,27915760,$391.41 ,$403.18 ,$389.65 
7/17/2026,$393.82 ,33049840,$394.86 ,$398.39 ,$389.39 
7/16/2026,$401.10 ,37047440,$398.31 ,$405.99 ,$392.05 
7/15/2026,$395.63 ,36253750,$387.80 ,$398.96 ,$386.40 
7/14/2026,$384.93 ,27863920,$382.82 ,$388.19 ,$378.65 
7/13/2026,$390.99 ,28914880,$387.75 ,$393.65 ,$384.15 
7/10/2026,$385.10 ,24644610,$387.80 ,$391.91 ,$381.50 
7/9/2026,$384.36 ,31083200,$374.45 ,$384.65 ,$373.35 
7/8/2026,$383.34 ,25908260,$384.03 ,$385.31 ,$381.33 
7/7/2026,$388.84 ,29297520,$392.49 ,$395.57 ,$388.22 
