Date,Close/Last,Volume,Open,High,Low
7/6/2026,$386.74 ,34224540,$387.04 ,$389.15 ,$381.22 
7/2/2026,$390.49 ,42194410,$384.48 ,$392.20 ,$383.70 
7/1/2026,$384.28 ,48065800,$380.83 ,$388.83 ,$374.89 
6/30/2026,$373.02 ,44945700,$371.03 ,$374.15 ,$367.45 
6/29/2026,$368.57 ,51229890,$377.50 ,$380.50 ,$359.90 
6/26/2026,$372.97 ,186201600,$357.15 ,$376.61 ,$355.43 
6/25/2026,$352.83 ,66360470,$362.77 ,$364.23 ,$349.20 
6/24/2026,$365.46 ,44509850,$371.57 ,$378.88 ,$364.78 
6/23/2026,$373.94 ,40647610,$372.38 ,$377.22 ,$370.67 
6/22/2026,$367.34 ,45171110,$375.74 ,$381.63 ,$367.07 
6/18/2026,$379.40 ,59714160,$377.82 ,$381.37 ,$373.28 
6/17/2026,$378.91 ,41987830,$390.25 ,$390.37 ,$377.32 
6/16/2026,$393.83 ,31506850,$395.79 ,$396.84 ,$390.69 
6/15/2026,$399.76 ,32266440,$396.80 ,$401.75 ,$392.85 
6/12/2026,$390.74 ,34922040,$391.43 ,$391.74 ,$382.27 
6/11/2026,$390.34 ,47224140,$395.21 ,$396.85 ,$384.00 
6/10/2026,$397.36 ,32576040,$398.55 ,$405.04 ,$397.16 
6/9/2026,$403.41 ,35317300,$409.03 ,$411.98 ,$398.48 
6/8/2026,$411.74 ,32086710,$414.14 ,$417.16 ,$408.56 
6/5/2026,$416.67 ,34782160,$428.34 ,$429.47 ,$414.40 
6/4/2026,$428.05 ,26899510,$435.81 ,$436.15 ,$426.41 
6/3/2026,$427.34 ,39037010,$438.45 ,$440.39 ,$424.25 
6/2/2026,$441.31 ,37036800,$446.88 ,$453.50 ,$440.43 
6/1/2026,$460.52 ,53628910,$464.84 ,$466.32 ,$458.27 
5/29/2026,$450.24 ,79654380,$432.55 ,$450.33 ,$432.36 
5/28/2026,$426.99 ,47250540,$412.98 ,$429.49 ,$412.67 
5/27/2026,$412.67 ,28901480,$411.01 ,$415.94 ,$409.58 
5/26/2026,$416.03 ,30398050,$416.43 ,$419.77 ,$413.02 
5/22/2026,$418.57 ,22390340,$419.54 ,$424.40 ,$416.33 
5/21/2026,$419.09 ,31393470,$424.75 ,$426.34 ,$415.71 
5/20/2026,$421.06 ,27864020,$414.17 ,$422.10 ,$411.30 
5/19/2026,$417.42 ,33018680,$429.90 ,$432.70 ,$416.49 
5/18/2026,$423.54 ,32564130,$416.62 ,$425.12 ,$415.61 
5/15/2026,$421.92 ,50771160,$414.27 ,$428.17 ,$412.91 
5/14/2026,$409.43 ,27077540,$404.48 ,$411.84 ,$400.88 
5/13/2026,$405.21 ,29667070,$403.20 ,$406.31 ,$401.03 
5/12/2026,$407.77 ,38594220,$414.48 ,$415.50 ,$406.64 
5/11/2026,$412.66 ,35657940,$407.87 ,$412.69 ,$405.50 
5/8/2026,$415.12 ,33383790,$417.39 ,$418.63 ,$414.00 
5/7/2026,$420.77 ,34942450,$420.11 ,$427.98 ,$418.76 
5/6/2026,$413.96 ,30285900,$408.00 ,$418.42 ,$405.11 
5/5/2026,$411.38 ,25700890,$415.32 ,$416.78 ,$408.80 
5/4/2026,$413.62 ,28066530,$411.54 ,$420.78 ,$410.80 
5/1/2026,$414.44 ,31372360,$412.80 ,$417.11 ,$410.44 
4/30/2026,$407.78 ,70909410,$410.81 ,$414.42 ,$398.01 
4/29/2026,$424.46 ,38288320,$424.58 ,$426.82 ,$420.29 
4/28/2026,$429.25 ,30438090,$424.57 ,$429.92 ,$421.90 
4/27/2026,$424.82 ,30867300,$422.38 ,$427.11 ,$417.07 
4/24/2026,$424.62 ,27457400,$416.97 ,$424.95 ,$415.80 
4/23/2026,$415.75 ,38307960,$419.89 ,$423.66 ,$411.41 
4/22/2026,$432.92 ,29378170,$426.19 ,$433.70 ,$423.67 
4/21/2026,$424.16 ,32048500,$420.24 ,$427.18 ,$417.20 
4/20/2026,$418.07 ,27582240,$421.15 ,$423.33 ,$416.30 
4/17/2026,$422.79 ,48568190,$424.82 ,$431.58 ,$420.69 
4/16/2026,$420.26 ,41642360,$419.86 ,$420.82 ,$412.14 
4/15/2026,$411.22 ,45063390,$398.00 ,$414.37 ,$396.73 
4/14/2026,$393.11 ,37504490,$387.92 ,$394.69 ,$386.52 
4/13/2026,$384.37 ,35745780,$373.61 ,$384.54 ,$371.02 
4/10/2026,$370.87 ,28111130,$372.98 ,$375.64 ,$370.03 
4/9/2026,$373.07 ,30435300,$372.50 ,$373.50 ,$367.05 
4/8/2026,$374.33 ,33064820,$384.98 ,$385.00 ,$371.41 
4/7/2026,$372.29 ,21443350,$370.34 ,$372.45 ,$366.56 
4/6/2026,$372.88 ,16146570,$373.49 ,$373.73 ,$369.50 
4/2/2026,$373.46 ,24099070,$367.21 ,$373.64 ,$364.15 
4/1/2026,$369.37 ,29417210,$373.49 ,$373.99 ,$368.20 
3/31/2026,$370.17 ,45244370,$364.55 ,$372.90 ,$363.07 
3/30/2026,$358.96 ,44797000,$361.90 ,$365.36 ,$356.28 
3/27/2026,$356.77 ,37883400,$361.90 ,$362.45 ,$356.51 
3/26/2026,$365.97 ,36836570,$370.82 ,$374.72 ,$365.19 
3/25/2026,$371.04 ,31181160,$376.92 ,$377.06 ,$369.63 
3/24/2026,$372.74 ,42733630,$382.36 ,$382.47 ,$371.85 
3/23/2026,$383.00 ,29680060,$383.90 ,$387.21 ,$381.68 
3/20/2026,$381.87 ,50853150,$386.79 ,$387.00 ,$380.12 
3/19/2026,$389.02 ,25138770,$390.10 ,$392.49 ,$387.06 
3/18/2026,$391.79 ,25908480,$397.13 ,$398.00 ,$391.00 
3/17/2026,$399.41 ,26228280,$400.27 ,$404.40 ,$397.75 
3/16/2026,$399.95 ,27733720,$398.07 ,$400.63 ,$394.79 
3/13/2026,$395.55 ,26848000,$401.00 ,$404.80 ,$394.25 
3/12/2026,$401.86 ,27263890,$404.63 ,$406.12 ,$401.71 
3/11/2026,$404.88 ,25512140,$405.57 ,$409.01 ,$401.59 
3/10/2026,$405.76 ,31706380,$410.03 ,$410.20 ,$402.93 
3/9/2026,$409.41 ,30131850,$404.92 ,$410.21 ,$403.50 
3/6/2026,$408.96 ,31123860,$409.20 ,$413.05 ,$408.51 
3/5/2026,$410.68 ,39001320,$404.42 ,$411.61 ,$404.40 
3/4/2026,$405.20 ,35807990,$401.27 ,$411.03 ,$400.31 
3/3/2026,$403.93 ,38199210,$393.14 ,$406.70 ,$392.67 
3/2/2026,$398.55 ,35474910,$392.86 ,$401.19 ,$390.63 
2/27/2026,$392.74 ,51367200,$390.88 ,$396.82 ,$389.88 
2/26/2026,$401.72 ,34405870,$404.71 ,$407.49 ,$398.74 
2/25/2026,$400.60 ,43625480,$390.53 ,$401.47 ,$390.16 
2/24/2026,$389.00 ,33884650,$384.14 ,$389.36 ,$381.71 
2/23/2026,$384.47 ,43238270,$395.00 ,$395.36 ,$383.10 
2/20/2026,$397.23 ,34015250,$396.11 ,$400.12 ,$395.16 
2/19/2026,$398.46 ,28234000,$400.69 ,$404.43 ,$396.67 
2/18/2026,$399.60 ,23223420,$398.13 ,$402.56 ,$396.32 
2/17/2026,$396.86 ,32078790,$399.22 ,$400.52 ,$394.53 
2/13/2026,$401.32 ,34091550,$404.45 ,$405.54 ,$398.05 
2/12/2026,$401.84 ,40802360,$405.00 ,$406.20 ,$398.01 
2/11/2026,$404.37 ,42491010,$416.18 ,$416.46 ,$401.01 
2/10/2026,$413.27 ,44857850,$419.62 ,$423.68 ,$412.70 
2/9/2026,$413.60 ,45480530,$404.85 ,$414.89 ,$400.87 
2/6/2026,$401.14 ,53515310,$399.17 ,$401.79 ,$392.92 
2/5/2026,$393.67 ,66289250,$407.44 ,$408.30 ,$392.32 
2/4/2026,$414.19 ,45012370,$411.00 ,$419.80 ,$409.24 
2/3/2026,$411.21 ,61424120,$422.01 ,$422.05 ,$408.56 
2/2/2026,$423.37 ,42219860,$430.24 ,$430.74 ,$422.25 
1/30/2026,$430.29 ,58566820,$439.17 ,$439.60 ,$426.45 
1/29/2026,$433.50 ,128855300,$439.99 ,$442.50 ,$421.02 
1/28/2026,$481.63 ,36875400,$483.21 ,$483.74 ,$478.00 
1/27/2026,$480.58 ,29213920,$473.70 ,$482.87 ,$473.16 
1/26/2026,$470.28 ,29291240,$465.31 ,$474.25 ,$462.00 
1/23/2026,$465.95 ,38000160,$451.87 ,$471.10 ,$450.53 
1/22/2026,$451.14 ,25349380,$447.62 ,$452.84 ,$444.70 
1/21/2026,$444.11 ,37980510,$452.60 ,$452.69 ,$438.68 
1/20/2026,$454.52 ,26129990,$451.22 ,$456.80 ,$449.28 
1/16/2026,$459.86 ,34246650,$457.83 ,$463.19 ,$456.48 
1/15/2026,$456.66 ,23225840,$464.12 ,$464.25 ,$455.90 
1/14/2026,$459.38 ,28184300,$466.46 ,$468.20 ,$457.17 
1/13/2026,$470.67 ,28545800,$474.68 ,$475.78 ,$465.95 
1/12/2026,$477.18 ,23519900,$476.67 ,$480.99 ,$475.68 
1/9/2026,$479.28 ,18491040,$474.06 ,$479.82 ,$472.20 
1/8/2026,$478.11 ,18162620,$481.24 ,$482.66 ,$475.86 
1/7/2026,$483.47 ,25564200,$479.76 ,$489.70 ,$477.95 
1/6/2026,$478.51 ,23037670,$473.80 ,$478.74 ,$469.75 
1/5/2026,$472.85 ,25250260,$474.06 ,$476.07 ,$469.50 
1/2/2026,$472.94 ,25571570,$484.39 ,$484.66 ,$470.16 
12/31/2025,$483.62 ,15601550,$487.84 ,$488.14 ,$483.30 
12/30/2025,$487.48 ,13944510,$485.93 ,$489.68 ,$485.50 
12/29/2025,$487.10 ,10893410,$484.86 ,$488.35 ,$484.18 
12/26/2025,$487.71 ,8842175,$486.71 ,$488.12 ,$485.96 
12/24/2025,$488.02 ,5855880,$485.68 ,$489.16 ,$484.83 
12/23/2025,$486.85 ,14683580,$484.98 ,$487.83 ,$484.74 
12/22/2025,$484.92 ,16963020,$486.12 ,$488.73 ,$482.69 
12/19/2025,$485.92 ,70836110,$487.36 ,$487.85 ,$482.49 
12/18/2025,$483.98 ,28573550,$478.19 ,$489.60 ,$477.89 
12/17/2025,$476.12 ,24527180,$476.91 ,$480.00 ,$475.00 
12/16/2025,$476.39 ,20705560,$471.91 ,$477.89 ,$470.88 
12/15/2025,$474.82 ,23727690,$480.10 ,$480.72 ,$472.52 
12/12/2025,$478.53 ,21248100,$479.82 ,$482.45 ,$476.34 
12/11/2025,$483.47 ,24669180,$476.63 ,$486.03 ,$475.86 
12/10/2025,$478.56 ,35756230,$484.03 ,$484.25 ,$475.08 
12/9/2025,$492.02 ,14696080,$489.10 ,$492.12 ,$488.50 
12/8/2025,$491.02 ,21965900,$484.89 ,$492.30 ,$484.38 
12/5/2025,$483.16 ,22608710,$482.52 ,$483.40 ,$478.88 
12/4/2025,$480.84 ,22318160,$479.76 ,$481.32 ,$476.49 
12/3/2025,$477.73 ,34615100,$476.32 ,$484.24 ,$475.20 
12/2/2025,$490.00 ,19562720,$486.72 ,$493.50 ,$486.32 
12/1/2025,$486.74 ,23963990,$488.44 ,$489.86 ,$484.65 
11/28/2025,$492.01 ,14386730,$487.60 ,$492.63 ,$486.65 
11/26/2025,$485.50 ,25709080,$486.31 ,$488.31 ,$481.20 
11/25/2025,$476.99 ,28019790,$474.07 ,$479.15 ,$464.89 
11/24/2025,$474.00 ,34421050,$475.00 ,$476.90 ,$468.02 
11/21/2025,$472.12 ,31769250,$478.50 ,$478.92 ,$468.27 
11/20/2025,$478.43 ,26802540,$492.71 ,$493.57 ,$475.50 
11/19/2025,$487.12 ,23245310,$490.10 ,$495.19 ,$482.83 
11/18/2025,$493.79 ,33815110,$495.37 ,$502.98 ,$486.78 
11/17/2025,$507.49 ,19092750,$508.45 ,$512.12 ,$504.91 
11/14/2025,$510.18 ,28505750,$498.23 ,$511.60 ,$497.44 
11/13/2025,$503.29 ,25273110,$510.31 ,$513.50 ,$501.29 
11/12/2025,$511.14 ,26574850,$509.36 ,$511.67 ,$499.12 
11/11/2025,$508.68 ,17980020,$504.80 ,$509.60 ,$502.35 
11/10/2025,$506.00 ,26101480,$500.04 ,$506.85 ,$498.80 
11/7/2025,$496.82 ,24019760,$496.95 ,$499.38 ,$493.25 
11/6/2025,$497.10 ,27406500,$505.66 ,$505.70 ,$495.81 
11/5/2025,$507.16 ,23024340,$513.30 ,$514.83 ,$506.58 
11/4/2025,$514.33 ,20958660,$511.76 ,$515.55 ,$507.84 
11/3/2025,$517.03 ,22374740,$519.81 ,$524.96 ,$514.59 
10/31/2025,$517.81 ,34006420,$528.88 ,$529.32 ,$515.10 
10/30/2025,$525.76 ,41023090,$530.48 ,$534.97 ,$522.12 
10/29/2025,$541.55 ,36023000,$544.94 ,$546.27 ,$536.73 
10/28/2025,$542.07 ,29986680,$550.00 ,$553.72 ,$540.77 
10/27/2025,$531.52 ,18734720,$531.78 ,$534.58 ,$529.01 
10/24/2025,$523.61 ,15532360,$522.79 ,$525.35 ,$520.71 
10/23/2025,$520.56 ,14023530,$522.46 ,$523.95 ,$518.61 
10/22/2025,$520.54 ,18962690,$521.15 ,$525.23 ,$517.71 
10/21/2025,$517.66 ,15586200,$517.50 ,$518.69 ,$513.04 
10/20/2025,$516.79 ,14665620,$514.61 ,$518.70 ,$513.43 
10/17/2025,$513.58 ,19867770,$509.04 ,$515.48 ,$507.31 
10/16/2025,$511.61 ,15559570,$512.58 ,$516.85 ,$508.13 
10/15/2025,$513.43 ,14694650,$514.96 ,$517.19 ,$510.00 
10/14/2025,$513.57 ,14684300,$510.23 ,$515.28 ,$506.00 
10/13/2025,$514.05 ,14284240,$516.41 ,$516.41 ,$511.68 
10/10/2025,$510.96 ,24133840,$519.64 ,$523.58 ,$509.63 
10/9/2025,$522.40 ,18343600,$522.34 ,$524.33 ,$517.40 
10/8/2025,$524.85 ,13363450,$523.28 ,$526.95 ,$523.09 
10/7/2025,$523.98 ,14615210,$528.29 ,$529.80 ,$521.44 
10/6/2025,$528.57 ,21388580,$518.61 ,$531.03 ,$518.20 
10/3/2025,$517.35 ,15112320,$517.10 ,$520.49 ,$515.00 
10/2/2025,$515.74 ,21222890,$517.64 ,$521.60 ,$510.68 
10/1/2025,$519.71 ,22632340,$514.80 ,$520.51 ,$511.69 
9/30/2025,$517.95 ,19728230,$513.24 ,$518.16 ,$509.66 
9/29/2025,$514.60 ,17617780,$511.50 ,$516.85 ,$508.88 
9/26/2025,$511.46 ,16213130,$510.06 ,$513.94 ,$506.62 
9/25/2025,$507.03 ,15786470,$508.30 ,$510.01 ,$505.04 
9/24/2025,$510.15 ,13533710,$510.38 ,$512.48 ,$506.92 
9/23/2025,$509.23 ,19799580,$513.80 ,$514.59 ,$507.31 
9/22/2025,$514.45 ,20009310,$515.59 ,$517.74 ,$512.55 
9/19/2025,$517.93 ,52474090,$510.56 ,$519.30 ,$510.31 
